graph_size (n),density,edge_count,algorithm,trial,max_flow_result,solve_time,setup_time,total_time
20,0.7,266,Edmonds-Karp,3,160,0.0002461000003677327,8.720000005268957e-05,0.0003333000004204223
20,0.7,266,cplex,4,132.0,0.0009983999989344738,0.011627200001385063,0.012625600000319537
20,0.7,266,ford-fulkerson,4,132,0.0011007000011886703,9.999999929277692e-05,0.0012007000004814472
20,0.7,266,Edmonds-Karp,4,132,0.00023239999973156955,9.01000003068475e-05,0.00032250000003841706
20,0.7,266,cplex,5,80.0,0.0009312000001955312,0.01167150000037509,0.012602700000570621
20,0.7,266,ford-fulkerson,5,80,0.0006219000006240094,9.280000085709617e-05,0.0007147000014811056
20,0.7,266,Edmonds-Karp,5,80,0.00016109999887703452,8.580000030633528e-05,0.0002468999991833698
20,0.9,342,cplex,1,207.0,0.0011231999997107778,0.013231499999164953,0.01435469999887573
20,0.9,342,ford-fulkerson,1,207,0.0014575999994121958,0.00012619999870366883,0.0015837999981158646
20,0.9,342,Edmonds-Karp,1,207,0.0003715999991982244,0.00010610000026645139,0.0004776999994646758
20,0.9,342,cplex,2,217.0,0.001106699999581906,0.014907400000083726,0.016014099999665632
20,0.9,342,ford-fulkerson,2,217,0.0015940000012051314,0.00010860000111279078,0.0017026000023179222
20,0.9,342,Edmonds-Karp,2,217,0.00033149999944726005,0.00011190000077476725,0.0004434000002220273
20,0.9,342,cplex,3,179.0,0.0010896000003413064,0.01322259999869857,0.014312199999039876
20,0.9,342,ford-fulkerson,3,179,0.0011432000010245247,0.00011000000085914508,0.0012532000018836698
20,0.9,342,Edmonds-Karp,3,179,0.00039180000021588057,0.00010920000022451859,0.0005010000004403992
20,0.9,342,cplex,4,201.0,0.0010558000012679258,0.013022500001170556,0.014078300002438482
20,0.9,342,ford-fulkerson,4,201,0.001442200000383309,0.00011170000107085798,0.001553900001454167
20,0.9,342,Edmonds-Karp,4,201,0.00031230000058712903,0.00011110000014014076,0.0004234000007272698
20,0.9,342,cplex,5,202.0,0.001100100000257953,0.013069500000710832,0.014169600000968785
20,0.9,342,ford-fulkerson,5,202,0.001482600000599632,0.00014059999921300914,0.0016231999998126412
20,0.9,342,Edmonds-Karp,5,202,0.0003376000004209345,0.0001066999993781792,0.0004442999997991137
20,1,342,cplex,1,195.0,0.001075799998943694,0.013139900000169291,0.014215699999112985
20,1,342,ford-fulkerson,1,195,0.0012877999997726874,0.0001128999992943136,0.001400699999067001
20,1,342,Edmonds-Karp,1,195,0.000322599998980877,0.00011010000162059441,0.0004327000006014714
20,1,342,cplex,2,197.0,0.0010905999988608528,0.013219500000559492,0.014310099999420345
20,1,342,ford-fulkerson,2,197,0.0013094999994791579,0.00011270000140939374,0.0014222000008885516
20,1,342,Edmonds-Karp,2,197,0.00029859999995096587,0.0001114999995479593,0.00041009999949892517
20,1,342,cplex,3,202.0,0.0010640999989846023,0.01483139999982086,0.015895499998805462
20,1,342,ford-fulkerson,3,202,0.0011692000007315073,0.00010889999975915998,0.0012781000004906673
20,1,342,Edmonds-Karp,3,202,0.00035200000093027484,0.00010909999946306925,0.0004611000003933441
